link,sex
https://www.tfrrs.org/athletes/2762802/Augustana_SD/Meagan_Grandgenett.html,w
https://www.tfrrs.org/athletes/3277029/Mount_Marty/Haley_Logan.html,w
https://www.tfrrs.org/athletes/3264991/Augustana_SD/Mary_Hitchcock.html,w
https://www.tfrrs.org/athletes/3275059/Wayne_St_NE/Tabitha_Machar.html,w
https://www.tfrrs.org/athletes/2762807/Augustana_SD/Karissa_Pepin.html,w
https://www.tfrrs.org/athletes/2748921/Wayne_St_NE/Cody__Diehl.html,m
https://www.tfrrs.org/athletes/3262518/Ashford/Justin_Ludwikowski.html,m
https://www.tfrrs.org/athletes/2762732/Augustana_SD/Jacob_Pohlmann.html,m
https://www.tfrrs.org/athletes/3275080/Wayne_St_NE/Chris_Morey.html,m
https://www.tfrrs.org/athletes/1754983/Fort_Hays_St/Luke_Lubbers.html,m
https://www.tfrrs.org/athletes/3268615/Emporia_St/Davian_Lawrence.html,m
https://www.tfrrs.org/athletes/2748810/Emporia_St/Tony_Granillo.html,m
https://www.tfrrs.org/athletes/2213946/St_Louis_U/Mallory_Dugger.html,w
https://www.tfrrs.org/athletes/2748516/Kansas_State/Lauren_Garrott.html,w
https://www.tfrrs.org/athletes/3255396/Kansas_State/Julia_Zeiner.html,w
https://www.tfrrs.org/athletes/2748517/Kansas_State/Cenarda_Jackson.html,w
https://www.tfrrs.org/athletes/1754939/Fort_Hays_St/Carissa_Heim.html,w
https://www.tfrrs.org/athletes/1688875/So_Conn_St/Jason_Polakowski.html,m
https://www.tfrrs.org/athletes/3250008/So_Conn_St/Nick_Lebron.html,m
https://www.tfrrs.org/athletes/2751906/So_Conn_St/Casey_Canada.html,m
https://www.tfrrs.org/athletes/2751890/So_Conn_St/Justin_Escaravage.html,m
https://www.tfrrs.org/athletes/3260225/Eastern_Washington/Kathryn__Barnitz.html,w
https://www.tfrrs.org/athletes/2748006/Eastern_Washington/Taymussa_Miller.html,w
https://www.tfrrs.org/athletes/2759470/Montana/Lindsey_Hall.html,w
https://www.tfrrs.org/athletes/2747994/Eastern_Washington/Liz_Cobb.html,w
